url_length,hostname_length,path_length,query_length,dot_count,hyphen_count,underscore_count,slash_count,question_count,equal_count,at_count,ampersand_count,percent_count,digit_count,letter_count,has_https,has_ip,subdomain_count,suspicious_word_count,is_shortened,label
28,20,0,0,2,0,0,2,0,0,0,0,0,0,23,1,0,1,0,0,0
37,12,10,6,2,0,0,3,1,1,0,0,0,5,24,1,0,0,0,0,1
37,28,1,0,2,1,0,3,0,0,0,0,0,3,27,1,0,1,0,0,1
37,28,1,0,2,0,0,3,0,0,0,0,0,0,31,1,0,1,0,0,1
19,11,0,0,1,0,0,2,0,0,0,0,0,0,15,1,0,0,0,0,0
22,7,7,0,1,0,0,3,0,0,0,0,0,1,16,1,0,0,0,0,1
23,15,0,0,1,0,0,2,0,0,0,0,0,0,19,1,0,0,0,0,0
52,37,1,6,5,3,0,3,1,1,0,0,0,4,34,0,0,1,0,0,1
14,6,0,0,1,0,0,2,0,0,0,0,0,0,10,1,0,0,0,0,0
71,63,0,0,2,0,0,2,0,0,0,0,0,13,53,1,0,1,0,0,1
73,43,18,3,6,1,0,3,1,0,0,0,0,19,42,1,0,1,0,0,1
25,17,0,0,1,0,0,2,0,0,0,0,0,0,21,1,0,0,0,0,0
25,17,0,0,1,0,0,2,0,0,0,0,0,0,21,1,0,0,0,0,0
73,23,42,0,6,0,0,4,0,0,0,0,0,3,59,1,0,2,0,0,1
34,25,1,0,1,2,0,3,0,0,0,0,0,0,27,1,0,0,0,0,1
73,19,46,0,4,1,0,4,0,0,0,0,0,6,57,1,0,0,0,0,1
23,16,0,0,1,1,0,2,0,0,0,0,0,0,18,0,0,0,0,0,1
50,39,4,0,6,2,0,3,0,0,0,0,0,10,28,0,0,2,0,0,1
20,12,0,0,1,0,0,2,0,0,0,0,0,0,16,1,0,0,0,0,0
15,7,0,0,1,0,0,2,0,0,0,0,0,0,11,1,0,0,0,0,0
37,25,1,3,3,0,0,3,1,1,0,0,0,10,18,0,0,2,0,0,1
17,9,0,0,1,0,0,2,0,0,0,0,0,0,13,1,0,0,0,0,0
21,13,0,0,1,0,0,2,0,0,0,0,0,0,17,1,0,0,0,0,0
27,19,0,0,1,0,0,2,0,0,0,0,0,0,23,1,0,0,0,0,0
26,18,0,0,1,0,0,2,0,0,0,0,0,0,22,1,0,0,0,0,0
68,43,17,0,6,1,0,3,0,0,0,0,0,27,30,1,0,1,0,0,1
54,21,25,0,6,0,0,4,0,0,0,0,0,1,42,1,0,2,0,0,1
67,43,16,0,6,1,0,3,0,0,0,0,0,21,35,1,0,1,0,0,1
37,12,10,6,2,0,0,3,1,1,0,0,0,5,24,1,0,0,0,0,1
35,26,1,0,2,1,0,3,0,0,0,0,0,6,22,1,0,1,0,0,1
24,16,0,0,1,0,0,2,0,0,0,0,0,0,20,1,0,0,0,1,0
28,20,0,0,1,1,0,2,0,0,0,0,0,0,23,1,0,0,0,0,0
54,17,1,27,4,0,0,3,1,1,1,0,0,0,43,1,0,1,0,0,1
20,12,0,0,2,0,0,2,0,0,0,0,0,0,15,1,0,1,0,0,0
24,16,0,0,1,0,0,2,0,0,0,0,0,0,20,1,0,0,0,0,0
23,15,0,0,1,0,0,2,0,0,0,0,0,0,19,1,0,0,0,0,0
29,22,0,0,2,0,0,2,0,0,0,0,0,0,24,0,0,1,0,0,1
21,13,0,0,1,0,0,2,0,0,0,0,0,0,17,1,0,0,0,0,0
20,12,0,0,1,0,0,2,0,0,0,0,0,0,16,1,0,0,0,0,0
52,20,24,0,5,0,0,3,0,0,0,0,0,0,43,1,0,1,0,0,1
73,15,50,0,5,1,1,6,0,0,0,0,0,5,54,1,0,1,0,0,1
35,26,1,0,2,1,0,3,0,0,0,0,0,6,22,1,0,1,0,0,1
26,18,0,0,1,1,0,2,0,0,0,0,0,0,21,1,0,0,0,0,0
30,22,0,0,2,0,0,2,0,0,0,0,0,0,25,1,0,1,0,0,0
24,16,0,0,1,0,0,2,0,0,0,0,0,0,20,1,0,0,0,0,0
17,9,0,0,1,0,0,2,0,0,0,0,0,0,13,1,0,0,0,0,0
21,13,0,0,1,0,0,2,0,0,0,0,0,0,17,1,0,0,1,0,0
73,11,54,0,4,1,0,4,0,0,0,0,0,5,58,1,0,0,0,0,1
37,28,1,0,2,1,0,3,0,0,0,0,0,4,26,1,0,1,1,0,1
27,19,0,0,1,0,0,2,0,0,0,0,0,0,23,1,0,0,0,0,0
73,23,42,0,6,0,0,4,0,0,0,0,0,2,60,1,0,2,0,0,1
23,14,1,0,2,0,0,3,0,0,0,0,0,0,17,1,0,1,0,0,1
